RGPHAE;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
region_de_dakar;3137196;3233460;3330692;3429370;3529300;3630324;3732284;3835019;3938358;4042225;4146593;4251430;4356697
zoneurbaine_dakar;3026316;3117055;3210787;3305913;3402246;3499631;3597922;3696959;3796577;3896705;3997315;4098379;4199856
zonerurale_dakar;110880;116404;119905;123457;127054;130692;134362;138061;141780;145521;149277;153051;156841
departement_de_dakar;1146052;1181218;1216738;1252786;1289292;1326197;1363444;1400974;1438725;1476669;1514796;1553094;1591549
arrondissement__dakar_plateau;189485;195299;201172;207132;213168;219270;225428;231633;237875;244148;250452;256784;263142
ca._goree;1680;1732;1784;1836;1890;1944;1999;2054;2109;2165;2221;2277;2333
ca._plateau;34713;35778;36854;37946;39052;40169;41298;42434;43578;44727;45882;47042;48207
ca._medina;81982;84498;87038;89617;92229;94869;97533;100218;102918;105632;108360;111099;113850
ca._colobane_fass_gueule_tapee;52269;53873;55493;57137;58802;60485;62184;63895;65617;67348;69087;70833;72587
ca._fann_point_e__amitie;18841;19419;20003;20596;21196;21803;22415;23032;23653;24276;24903;25533;26165
arrondissement__grand_dakar;306726;316138;325644;335292;345062;354939;364908;374953;385056;395211;405415;415665;425958
ca._grand_dakar;47012;48455;49912;51390;52888;54402;55930;57469;59018;60574;62138;63709;65287
ca._biscuiterie;68547;70650;72775;74931;77114;79322;81550;83794;86052;88322;90602;92893;95193
ca._hlm;39126;40327;41539;42770;44016;45276;46548;47829;49118;50413;51715;53022;54335
ca._hann__bel_air_;67961;70046;72153;74290;76455;78644;80852;83078;85317;87567;89828;92099;94379
ca._sicap_liberte;47164;48611;50073;51556;53059;54578;56110;57655;59209;60770;62339;63915;65498
ca._dieuppeul_derkle;36917;38050;39194;40355;41531;42720;43920;45129;46345;47567;48795;50029;51267
arrondissement__almadies;211314;217798;224347;230994;237725;244530;251398;258318;265278;272275;279305;286366;293457
ca._ouakam;74692;76984;79299;81648;84027;86433;88860;91306;93766;96239;98724;101220;103727
ca._n.gor;17383;17916;18455;19002;19556;20115;20680;21250;21822;22398;22976;23557;24140
ca._yoff;89442;92187;94959;97772;100621;103501;106408;109337;112283;115245;118220;121209;124210
ca.mermoz__sacre__coeur;29798;30712;31636;32573;33522;34482;35450;36426;37408;38394;39386;40381;41381
arrondissement__parcelles_ass;438527;451983;465574;479368;493337;507458;521710;536071;550516;565035;579624;594278;608993
ca._grand_yoff;185503;191195;196944;202779;208688;214662;220691;226765;232876;239018;245189;251388;257612
ca._patte_d.oie;41106;42367;43641;44934;46244;47567;48903;50249;51603;52964;54332;55706;57085
ca._parcelles_assainies;159498;164392;169336;174352;179433;184569;189753;194976;200230;205511;210817;216147;221499
ca._camberene;52420;54028;55653;57302;58972;60660;62363;64080;65807;67542;69286;71038;72797
departement_de_guediawaye;329658;339773;349991;360360;370860;381476;392190;402986;413844;424759;435726;446742;457804
arrondissement__guediawaye;329658;339773;349991;360360;370860;381476;392190;402986;413844;424759;435726;446742;457804
ca.__golf_sud;92345;95179;98041;100945;103887;106860;109862;112886;115928;118985;122057;125143;128242
ca.__sam__notaire;78660;81074;83512;85986;88491;91024;93581;96157;98748;101352;103969;106598;109237
ca.__n.diareme_limamoulaye;35171;36250;37340;38447;39567;40699;41843;42994;44153;45317;46487;47663;48843
ca.__wakhinane_nimzatt;89721;92474;95255;98077;100935;103824;106740;109678;112634;115604;118589;121587;124598
ca.__medina_gounass;33762;34798;35844;36906;37982;39069;40166;41272;42384;43502;44625;45753;46886
departement_de_pikine;1170791;1206716;1243003;1279829;1317123;1354825;1392876;1431216;1469782;1508545;1547495;1586619;1625905
arrondissement_niayes;499118;514433;529903;545602;561501;577573;593795;610139;626580;643105;659710;676389;693137
ca._yeumbeul_nord;168379;173546;178764;184061;189424;194846;200318;205832;211379;216954;222555;228182;233832
ca._yeumbeul_sud;96956;99931;102936;105986;109074;112196;115347;118522;121716;124926;128152;131392;134645
ca._malika;32130;33116;34112;35122;36146;37180;38225;39277;40335;41399;42468;43542;44620
ca._keur_massar;201653;207841;214091;220433;226857;233350;239904;246508;253150;259827;266535;273274;280040
arrondissement_pikine_dagouda;328673;338758;348945;359283;369752;380336;391018;401781;412608;423490;434424;445407;456436
ca._pikine_ouest;52154;53754;55371;57011;58672;60352;62047;63755;65473;67200;68935;70677;72427
ca._pikine_est;32452;33448;34454;35474;36508;37553;38608;39670;40739;41814;42893;43978;45067
ca._pikine_sud;46780;48215;49665;51137;52627;54133;55654;57186;58726;60275;61832;63395;64964
ca._daliford;30418;31351;32294;33251;34220;35199;36188;37184;38186;39193;40205;41222;42242
ca._djidah_thiaroye_kao;96952;99927;102932;105981;109070;112192;115343;118518;121711;124921;128146;131386;134639
ca._guinaw_rail_nord;30058;30980;31912;32857;33815;34783;35760;36744;37734;38729;39729;40734;41742
ca._guinaw_rail_sud;39859;41082;42317;43571;44841;46124;47420;48725;50038;51358;52684;54016;55353
arrondissement_thiaroye;343000;353525;364156;374944;385870;396915;408063;419295;430594;441950;453361;464823;476332
ca._thiaroye__mer;52773;54392;56028;57688;59369;61068;62783;64512;66250;67997;69753;71516;73287
ca._diack_sao;40561;41806;43063;44339;45631;46937;48255;49583;50919;52262;53612;54967;56328
ca._diamaguene_sicap_m.bao_;128512;132455;136438;140481;144574;148712;152889;157098;161331;165586;169861;174155;178468
ca._thiaroye_gare;24834;25596;26366;27147;27938;28738;29545;30358;31176;31998;32824;33654;34488
ca._m.bao;96320;99276;102261;105290;108359;111460;114591;117745;120918;124107;127311;130530;133762
departement_de_rufisque;490695;505752;520960;536395;552025;567826;583774;599843;616006;632252;648577;664975;681440
arrondissement_bambylor;110881;114283;117719;121207;124739;128310;131913;135544;139197;142868;146557;150262;153982
cr._yene;24795;25556;26324;27104;27894;28692;29498;30310;31127;31948;32773;33601;34433
cr._bambylor;44962;46342;47735;49149;50582;52029;53491;54963;56444;57933;59429;60931;62440
cr._tivaouane_peulh_niagha;41123;42385;43659;44953;46263;47587;48924;50270;51625;52986;54354;55729;57108
arrondissement_rufisque;379814;391468;403240;415187;427285;439516;451860;464298;476809;489384;502020;514712;527457
ca._rufisque_centre_nord;92051;94876;97729;100624;103556;106520;109512;112526;115559;118606;121669;124745;127833
ca._rufisque__est;70125;72277;74450;76656;78890;81148;83427;85723;88033;90355;92688;95031;97384
ca._rufisque_ouest;58890;60697;62522;64375;66250;68147;70061;71989;73929;75879;77838;79806;81782
com._bargny;51188;52759;54345;55955;57586;59234;60898;62574;64260;65955;67658;69368;71086
com._sebikotane;27402;28243;29092;29954;30827;31709;32600;33497;34400;35307;36219;37134;38054
com._diamniadio;23547;24270;24999;25740;26490;27248;28014;28785;29560;30340;31123;31910;32700
com._jaxaay_parcelle_niakoul_rap;41570;42846;44134;45442;46766;48104;49455;50817;52186;53562;54945;56334;57729
com._sangalkam;11916;12282;12651;13026;13405;13789;14176;14567;14959;15354;15750;16148;16548
com._sendou;3125;3221;3318;3416;3516;3616;3718;3820;3923;4027;4130;4235;4340
region_diourbel;1497455;1543647;1591593;1641350;1692967;1746496;1801991;1859503;1919090;1980821;2044771;2111013;2179594
zoneurbaine_diourbel;239870;248527;256246;265899;274260;282932;291923;301239;312812;322873;333298;344095;355274
zonerurale_diourbel;1257585;1295120;1335346;1375451;1418706;1463563;1510068;1558263;1606279;1657948;1711474;1766918;1824320
departement_bambey;299476;308714;318303;328254;338576;349282;360380;371882;383799;396144;408934;422181;435897
commune_de_bambey;28908;29800;30725;31686;32682;33716;34787;35897;37048;38239;39474;40753;42077
arrondissement_baba_garage;44500;45873;47298;48776;50310;51901;53550;55259;57030;58864;60765;62733;64771
cr.__baba_garage;15815;16303;16809;17335;17880;18445;19031;19639;20268;20920;21595;22295;23019
cr.__dinguiraye;9386;9676;9976;10288;10611;10947;11295;11655;12029;12416;12817;13232;13662
cr.__k._samba_kane;19299;19894;20512;21153;21819;22509;23224;23965;24733;25529;26353;27206;28090
arrondissement_lambaye;101412;104540;107787;111157;114653;118278;122036;125931;129966;134147;138478;142964;147608
cr.__gawane;14373;14816;15277;15754;16250;16763;17296;17848;18420;19012;19626;20262;20920
cr.__lambaye;27847;28706;29598;30523;31483;32478;33510;34580;35688;36836;38025;39257;40532
cr.__n.gogom;25464;26249;27065;27911;28789;29699;30643;31621;32634;33684;34771;35897;37064
cr.__refane;33727;34767;35847;36968;38130;39336;40586;41881;43223;44614;46054;47546;49091
arrondissement_ngoye;124657;128502;132494;136636;140933;145389;150008;154796;159756;164895;170219;175733;181442
cr.__dangalma;32640;33647;34692;35776;36902;38068;39278;40532;41830;43176;44570;46014;47509
cr.__n.dondol;24347;25098;25878;26687;27526;28396;29298;30234;31202;32206;33246;34323;35438
cr.__n.goye;46176;47600;49079;50613;52205;53856;55567;57340;59178;61081;63053;65096;67211
cr.__thiakar;21495;22158;22846;23561;24301;25070;25866;26692;27547;28433;29351;30302;31287
departement_diourbel;268215;276489;285076;293989;303234;312822;322762;333063;343736;354793;366247;378112;390396
commune_de_diourbel;133706;137830;142111;146554;151163;155943;160898;166033;171353;176865;182575;188490;194613
arrondissement_ndindy;47980;49460;50996;52591;54244;55960;57738;59580;61490;63468;65517;67639;69836
cr.__dankh__sene;9630;9927;10235;10555;10887;11232;11588;11958;12341;12738;13150;13576;14017
cr.__gade_escale;3240;3340;3444;3551;3663;3779;3899;4023;4152;4286;4424;4568;4716
cr.__n.dindy;14197;14635;15089;15561;16051;16558;17084;17629;18194;18780;19386;20014;20664
cr.__keur_n.galgou;7214;7437;7668;7907;8156;8414;8681;8958;9245;9543;9851;10170;10500
cr.__taiba_moutoupha;10382;10702;11035;11380;11738;12109;12493;12892;13305;13733;14177;14636;15111
cr._touba_lappe;3317;3419;3526;3636;3750;3869;3992;4119;4251;4388;4529;4676;4828
arrondissement_ndoulo;86528;89197;91968;94843;97825;100918;104125;107448;110891;114459;118154;121981;125944
cr.__n.doulo;12149;12524;12913;13316;13735;14169;14620;15086;15570;16071;16589;17127;17683
cr.__n.gohe;30190;31121;32088;33091;34132;35211;36330;37489;38691;39935;41224;42560;43943
cr.__patar;17072;17599;18145;18713;19301;19911;20544;21200;21879;22583;23312;24067;24849
cr.__tocky_gare_;14726;15180;15652;16141;16649;17175;17721;18286;18872;19479;20108;20760;21434
cr.__toure_m.bonde_;12391;12773;13170;13582;14009;14452;14911;15387;15880;16391;16920;17468;18035
departement_mbacke;929764;958444;988214;1019108;1051157;1084393;1118849;1154558;1191556;1229884;1269590;1310720;1353301
commune_de_mbacke;77256;79639;82113;84680;87343;90104;92967;95935;99009;102194;105493;108910;112449
arrondissement_kael;40411;41658;42951;44294;45687;47132;48629;50181;51789;53455;55181;56969;58820
cr.__dendeye_gouye_gui;5370;5536;5708;5886;6071;6263;6462;6668;6882;7103;7333;7570;7816
cr.__darou_salam__typ;5522;5692;5869;6053;6243;6440;6645;6857;7077;7304;7540;7785;8037
cr.__kael;5413;5580;5753;5933;6120;6313;6514;6722;6937;7160;7391;7631;7879
cr.__madina;5630;5804;5984;6171;6365;6566;6775;6991;7215;7447;7688;7937;8195
cr.__n.dioumane__t._thiekene;4223;4353;4488;4629;4774;4925;5082;5244;5412;5586;5766;5953;6147
cr.__touba__m.boul;10157;10470;10796;11133;11483;11846;12223;12613;13017;13436;13869;14319;14784
cr.__darou_nahim;2358;2431;2506;2585;2666;2750;2838;2928;3022;3119;3220;3324;3432
cr.__taiba_tieckene;1738;1792;1847;1905;1965;2027;2091;2158;2227;2299;2373;2450;2530
arrondissement_ndame;779740;803793;828759;854668;881545;909418;938315;968262;999290;1031434;1064733;1099226;1134937
cr.__dalla_n.gabou;8600;8865;9141;9426;9723;10030;10349;10679;11021;11376;11743;12124;12518
cr.__missirah;6967;7182;7405;7636;7877;8126;8384;8651;8929;9216;9513;9822;10141
cr.__n.ghaye;4746;4892;5044;5202;5366;5535;5711;5893;6082;6278;6481;6691;6908
cr.__touba_fall_;6114;6303;6498;6702;6912;7131;7357;7592;7836;8088;8349;8619;8899
cr.__touba_mosquee;753313;776550;800670;825701;851668;878596;906514;935446;965422;996476;1028647;1061971;1096471
arrondissement_taif;32357;33355;34391;35466;36582;37738;38937;40180;41468;42802;44183;45615;47097
cr.__sadio;17570;18112;18675;19258;19864;20492;21143;21818;22517;23241;23992;24769;25574
cr.__taif;14788;15244;15718;16209;16719;17247;17795;18363;18952;19561;20193;20847;21524
region_fatick;714392;737487;761710;787037;813542;841294;870361;900791;932629;965912;1000675;1036947;1074749
zoneurbaine_fatick;110489;120210;125682;131436;137489;143861;150572;156737;164143;171933;180122;188724;197754
zonerurale_fatick;603903;617277;636028;655602;676054;697433;719788;744053;768486;793979;820554;848223;876995
departement_fatick;339238;350205;361708;373734;386321;399499;413302;427752;442871;458675;475183;492407;510358
com._fatick;28276;29190;30149;31151;32200;33299;34449;35654;36914;38231;39607;41043;42539
com._diofior;11312;11678;12061;12462;12882;13321;13782;14264;14768;15295;15845;16419;17018
com._diakhao;4398;4540;4689;4845;5008;5179;5358;5546;5742;5946;6160;6384;6616
arrondissement_ndiob;68925;71153;73490;75934;78491;81169;83973;86909;89981;93192;96546;100045;103692
cr.__diaoule;12587;12994;13421;13867;14334;14823;15335;15871;16432;17019;17631;18270;18936
cr.__mbelacadiao;16178;16701;17250;17823;18423;19052;19710;20399;21120;21874;22661;23483;24339
cr.__ndiob;19028;19643;20288;20963;21669;22408;23182;23993;24841;25727;26653;27619;28626
cr.__thiare__ndialgui;21133;21816;22533;23282;24066;24887;25747;26647;27589;28573;29602;30675;31793
arrondissement_fimela;64595;66683;68873;71164;73560;76069;78698;81449;84328;87337;90481;93760;97178
cr.__fimela;25228;26044;26899;27793;28729;29709;30736;31810;32935;34110;35338;36619;37954
cr.__loul_sessene;20340;20998;21687;22408;23163;23953;24781;25647;26554;27501;28491;29524;30600
cr.__palmarin_facao;9323;9624;9941;10271;10617;10979;11358;11756;12171;12605;13059;13532;14026
cr.__djilasse;9703;10017;10346;10690;11050;11427;11821;12235;12667;13119;13591;14084;14597
arondissement_niakhar;77784;80299;82936;85694;88580;91601;94766;98079;101546;105170;108955;112904;117020
cr.__ngayokheme;24012;24788;25602;26454;27345;28277;29254;30277;31347;32466;33634;34854;36124
cr.__niakhar;28545;29468;30436;31448;32507;33616;34777;35993;37265;38595;39984;41433;42944
cr.__patar;25226;26042;26897;27791;28727;29707;30733;31808;32932;34107;35335;36616;37951
arondissement_tattaguine;83948;86662;89508;92484;95599;98860;102276;105852;109593;113504;117589;121851;126293
cr.__diarere;30238;31216;32241;33313;34435;35609;36840;38128;39475;40884;42355;43891;45491
cr.__diouroup;23213;23963;24751;25573;26435;27336;28281;29270;30304;31386;32515;33694;34922
cr.__tattaguine;30499;31485;32519;33600;34732;35917;37158;38457;39816;41237;42721;44270;45883
departement_foundiougne;279436;288470;297945;307851;318219;329074;340444;352346;364800;377819;391416;405604;420390
com._foundiougne;6822;7043;7274;7516;7769;8034;8311;8602;8906;9224;9556;9902;10263
com._sokone;14745;15222;15722;16244;16791;17364;17964;18592;19249;19936;20654;21403;22183
com._passy;12571;12977;13404;13849;14316;14804;15316;15851;16411;16997;17609;18247;18912
com._karang_poste;14624;15097;15593;16111;16654;17222;17817;18440;19091;19773;20484;21227;22001
com._soum;5044;5207;5378;5557;5744;5940;6145;6360;6585;6820;7065;7321;7588
arondissement_djilor;79133;81691;84374;87180;90116;93190;96410;99780;103307;106994;110844;114862;119050
cr.__djilor;19732;20370;21039;21739;22471;23237;24040;24880;25760;26679;27639;28641;29685
cr.__diossong;23361;24116;24908;25737;26603;27511;28461;29456;30497;31586;32723;33909;35145
cr.__diagane_barka;9763;10079;10410;10756;11118;11497;11894;12310;12745;13200;13675;14171;14688
cr.__mbam;9961;10283;10621;10974;11343;11730;12136;12560;13004;13468;13953;14458;14986
cr.__niassene;16315;16842;17396;17974;18579;19213;19877;20572;21299;22059;22853;23681;24545
arondissement_niodior;28868;29801;30780;31804;32875;33996;35171;36400;37687;39032;40436;41902;43430
cr.__bassoul;8947;9236;9540;9857;10189;10536;10900;11281;11680;12097;12532;12987;13460
cr.__dionewar;11274;11638;12021;12420;12839;13277;13735;14216;14718;15243;15792;16364;16961
cr.__djirnda;8649;8929;9222;9528;9849;10185;10537;10906;11291;11694;12115;12554;13012
arondissement_toubacouta;117630;121433;125421;129592;133956;138525;143311;148322;153564;159045;164769;170741;176965
cr.__keur_s.diane;26715;27579;28484;29432;30423;31461;32548;33685;34876;36121;37421;38777;40191
cr.__keur__samba_gueye;23523;24283;25081;25915;26788;27702;28659;29661;30709;31805;32950;34144;35389
cr.__nioro_alassane_tall;32435;33484;34583;35733;36937;38197;39516;40898;42343;43855;45433;47080;48796
cr.__toubacouta;34957;36087;37272;38512;39809;41167;42589;44078;45636;47265;48966;50740;52590
departement_gossas;95715;98809;102055;105448;108999;112717;116612;120689;124955;129414;134072;138931;143996
commune_gossas;12698;13109;13539;13989;14460;14954;15470;16011;16577;17169;17787;18431;19103
arondissement_colobane;45611;47086;48632;50249;51941;53713;55569;57512;59545;61670;63889;66205;68618
cr.__colobane;18310;18902;19523;20172;20851;21563;22308;23087;23903;24757;25647;26577;27546
cr.__mbar;27301;28184;29109;30077;31090;32151;33261;34424;35641;36913;38242;39628;41072
arondissement_ouadiour;37406;38615;39884;41210;42598;44051;45573;47166;48833;50576;52396;54295;56275
cr.__ndiene_lagane;11866;12250;12652;13073;13513;13974;14457;14962;15491;16044;16621;17224;17852
cr.__ouadiour;10816;11166;11532;11916;12317;12737;13177;13638;14120;14624;15150;15700;16272
cr.__patar_lia;14724;15200;15699;16221;16768;17340;17939;18566;19222;19908;20624;21372;22151
region_kaffrine;566992;587946;609638;632023;655121;678955;703555;728948;755172;782273;810304;839311;869348
popu.urbaine_kaffrine;85877;95247;101200;107444;113991;120854;128047;135584;143483;151761;160440;169541;179086
popu.rurale_kaffrine;481115;492699;508438;524580;541129;558101;575509;593364;611689;630512;649863;669771;690262
departement_kaffrine;207676;215351;223296;231495;239956;248685;257696;266997;276602;286528;296796;307420;318422
com._kaffrine;39536;40997;42510;44071;45681;47343;49058;50829;52658;54547;56502;58525;60619
com._n.ganda;10508;10896;11298;11713;12141;12583;13039;13510;13996;14498;15017;15555;16112
arrondissement_gniby;60444;62678;64990;67377;69839;72380;75002;77709;80505;83394;86382;89474;92677
cr.__boulel;23409;24274;25170;26094;27048;28032;29047;30096;31178;32297;33454;34652;35892
cr.__gniby;15544;16118;16713;17327;17960;18613;19288;19984;20703;21446;22214;23010;23833
cr.__kahi;21491;22285;23107;23956;24831;25735;26667;27630;28624;29651;30713;31813;32951
arrondissement_katakel;97188;100780;104498;108335;112294;116380;120596;124949;129444;134089;138894;143866;149015
cr.__diokoul_m.belbouck;24277;25174;26103;27061;28050;29071;30124;31211;32334;33495;34695;35937;37223
cr.__kathiote;32963;34181;35442;36744;38087;39472;40902;42379;43903;45479;47108;48795;50541
cr.__medinatoul_salam_2;20613;21375;22163;22977;23817;24683;25578;26501;27454;28440;29459;30513;31605
cr.__diamagadio;19336;20051;20790;21554;22341;23154;23993;24859;25753;26678;27634;28623;29647
departement_mbirkilane;101217;104958;108830;112826;116949;121204;125596;130129;134810;139648;144652;149830;155192
com_.birkelane;7011;7270;7538;7815;8101;8395;8700;9014;9338;9673;10020;10378;10750
arrondissment_keur_m.bouki;30312;31432;32592;33789;35023;36298;37613;38970;40372;41821;43320;44870;46476
cr.__keur_m.bouki;10139;10514;10902;11302;11715;12141;12581;13035;13504;13989;14490;15009;15546
cr.__touba_m.bella;9922;10289;10668;11060;11464;11881;12312;12756;13215;13689;14180;14687;15213
cr.__diamal;10250;10629;11021;11426;11843;12274;12719;13178;13652;14142;14649;15173;15716
arrondissement_mabo;63894;66255;68700;71222;73825;76511;79283;82145;85100;88154;91313;94581;97966
cr.__mabo;25208;26140;27104;28099;29126;30186;31279;32408;33574;34779;36025;37315;38651
cr.__n.diognick;29776;30876;32016;33191;34404;35656;36948;38281;39658;41082;42554;44077;45654
cr.__mbeuleup;4179;4333;4493;4658;4829;5004;5186;5373;5566;5766;5972;6186;6408
cr.__segre_gatta;4730;4905;5086;5273;5465;5664;5869;6081;6300;6526;6760;7002;7252
departement_koungheul;163438;169478;175731;182183;188842;195712;202803;210123;217682;225494;233574;241935;250593
com._koungheul;20942;21716;22517;23344;24197;25077;25986;26924;27892;28893;29929;31000;32110
arrondissement_ida_mouride;57745;59879;62088;64368;66720;69148;71653;74239;76910;79670;82525;85479;88538
cr.__saly_escale;22799;23642;24514;25414;26343;27301;28290;29311;30366;31456;32583;33749;34957
cr.__fass_thiekene;15867;16453;17060;17687;18333;19000;19689;20399;21133;21892;22676;23488;24328
cr.__ida_mouride;19079;19784;20514;21267;22044;22846;23674;24529;25411;26323;27266;28242;29253
arrondissement_lour_escale;36541;37891;39289;40732;42221;43757;45342;46979;48669;50415;52222;54091;56027
cr.__lour_escale;22530;23363;24225;25114;26032;26979;27956;28965;30008;31084;32198;33351;34544
cr.__ribot_escale;14011;14529;15065;15618;16189;16778;17386;18013;18661;19331;20024;20740;21483
arrondissement_missirah_wade;48210;49992;51836;53739;55703;57730;59822;61981;64211;66515;68898;71365;73919
cr.__gainthe_pathe;15490;16062;16655;17267;17898;18549;19221;19915;20631;21371;22137;22930;23750
cr.__maka_yop;13823;14334;14863;15408;15972;16553;17152;17771;18411;19071;19755;20462;21194
cr.__missirah_wadene;18896;19594;20317;21063;21833;22627;23447;24293;25167;26071;27005;27972;28973
departement_malem_hoddar;94662;98160;101782;105519;109376;113355;117462;121701;126080;130604;135284;140127;145142
com._malem_hoddar;7879;8170;8472;8783;9104;9435;9777;10130;10494;10871;11260;11663;12081
arrondissement_darou_minam_ii;30035;31145;32294;33480;34703;35966;37269;38614;40003;41439;42924;44460;46052
cr.__darou_minam_ii;14866;15415;15984;16571;17177;17802;18447;19112;19800;20510;21245;22006;22793
cr.__n.dioum__n.gainth;8087;8386;8695;9015;9344;9684;10035;10397;10771;11158;11557;11971;12399
cr.__khelcom;1665;1727;1790;1856;1924;1994;2066;2141;2218;2297;2379;2465;2553
cr.__ndiobene_samba_lamo;5418;5618;5826;6039;6260;6488;6723;6966;7216;7475;7743;8020;8307
arrondissement_sagna;56748;58845;61016;63257;65568;67954;70416;72958;75582;78295;81100;84003;87010
cr.__dianke_souf;19036;19740;20468;21219;21995;22795;23621;24473;25354;26264;27205;28179;29187
cr.__sagna;37712;39106;40548;42037;43574;45159;46795;48484;50228;52031;53895;55825;57822
region_kaolack;960875;990748;1021656;1053535;1086464;1120404;1155433;1191566;1228746;1267014;1306304;1346613;1388007
zoneurbaine_kaolack;338760;355678;370861;386648;403078;420151;437909;456370;475524;495402;515990;537298;559367
zonerurale_kaolack;622115;635069;650795;666889;683386;700252;717524;735196;753221;771611;790314;809314;828640
departement_kaolack;488765;503960;519682;535898;552648;569912;587730;606110;625022;644488;664473;684977;706033
com._kaolack;233707;240973;248490;256244;264253;272508;281028;289816;298859;308167;317723;327527;337595
com._kahone;14231;14673;15131;15603;16091;16594;17112;17648;18198;18765;19347;19944;20557
com._gandiaye;13819;14249;14693;15152;15625;16113;16617;17137;17671;18222;18787;19367;19962
com._ndoffane;12898;13299;13714;14142;14584;15039;15510;15995;16494;17007;17535;18076;18631
com._sibassor;8140;8393;8655;8925;9204;9491;9788;10094;10409;10733;11066;11408;11758
arrondissement_ndiedieng;90743;93564;96483;99494;102603;105809;109117;112529;116040;119654;123365;127171;131080
cr.__keur_soce;26967;27805;28673;29568;30492;31444;32427;33441;34485;35559;36661;37793;38954
cr.__ndiaffate;34705;35784;36900;38052;39241;40467;41732;43037;44380;45762;47181;48637;50132
cr.__ndiedieng;29070;29974;30909;31873;32870;33896;34956;36049;37174;38332;39520;40740;41992
arrondissement_koumbal;72010;74249;76565;78954;81422;83965;86591;89298;92085;94953;97897;100918;104020
cr.__latmingue;28814;29710;30637;31593;32580;33598;34648;35732;36847;37994;39172;40381;41623
cr.__thiare;23626;24361;25120;25904;26714;27548;28410;29298;30212;31153;32119;33111;34128
cr.__keur_baka;19571;20179;20809;21458;22129;22820;23534;24270;25027;25806;26607;27428;28271
arrondissement_ngothie;43216;44560;45950;47383;48864;50391;51966;53591;55264;56985;58752;60565;62427
cr.__dya;14949;15414;15895;16391;16903;17431;17976;18538;19116;19712;20323;20950;21594
cr.__ndiebel;13529;13950;14385;14834;15297;15775;16268;16777;17301;17839;18393;18960;19543
