RGPHAE;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
com._walalde;3224;3309;3397;3487;3580;3675;3772;3872;3975;4079;4186;4295;4405
arrondissemnt_cas_cas;79557;81652;83816;86042;88330;90679;93089;95557;98081;100662;103295;105978;108710
cr.__medina_ndiathbe;33243;34118;35023;35953;36909;37890;38897;39929;40983;42062;43162;44283;45425
cr.__dounga_lao;28995;29758;30547;31358;32192;33048;33927;34826;35746;36687;37646;38624;39620
cr.__mery;17319;17775;18246;18731;19229;19740;20265;20802;21352;21913;22487;23071;23665
arrondissement_salde;48878;50165;51495;52862;54268;55711;57192;58708;60259;61844;63462;65111;66789
cr.__boke_dialloube;24161;24797;25454;26130;26825;27539;28270;29020;29787;30570;31370;32185;33015
cr.__mbolo_birane;24717;25368;26040;26732;27443;28172;28921;29688;30472;31274;32092;32926;33774
arrondissement_thille_boubac;63950;65634;67374;69163;71002;72890;74827;76811;78840;80914;83031;85188;87384
cr.__fanaye;33258;34134;35038;35969;36925;37907;38915;39947;41002;42081;43181;44303;45445
cr.__ndiayene_pendao;30692;31500;32335;33194;34076;34983;35912;36864;37838;38834;39850;40885;41939
arrondissement_gamadji_sare;103006;105718;108520;111402;114364;117406;120526;123722;126990;130331;133740;137215;140752
cr.__dodel;38528;39543;40591;41669;42776;43914;45081;46276;47499;48749;50024;51323;52646
cr.__gamadji_sare;20387;20924;21478;22049;22635;23237;23855;24487;25134;25795;26470;27158;27858
cr.__guede_village;44091;45252;46451;47685;48953;50255;51590;52958;54357;55787;57247;58734;60248
departement_saint_louis;296496;304303;312369;320664;329190;337945;346926;356125;365534;375149;384962;394964;405144
com._saint_louis;209752;215275;220981;226849;232881;239075;245428;251935;258592;265394;272336;279412;286614
com._m.pal;8132;8346;8567;8795;9029;9269;9515;9767;10025;10289;10558;10833;11112
arrondissement_rao;78612;80682;82820;85020;87280;89602;91983;94422;96916;99466;102068;104719;107419
cr.__gandon;40763;41836;42945;44086;45258;46462;47696;48961;50254;51576;52926;54301;55700
cr.__fass_ngom;16667;17106;17559;18026;18505;18997;19502;20019;20548;21088;21640;22202;22774
cr.__n.diebene_gandiole;21182;21740;22316;22909;23518;24143;24785;25442;26114;26801;27502;28217;28944
region_sedhiou;452994;468098;483768;500064;517016;534655;553005;572099;591970;612649;634171;656562;679842
zoneurbaine_sedhiou;87014;95960;101591;107013;113226;119762;126638;133299;140889;148873;157275;165454;174720
zonerurale_sedhiou;365980;372138;382177;393051;403790;414892;426366;438800;451082;463776;476897;491109;505122
departement_sedhiou;151331;156377;161612;167056;172719;178611;184742;191120;197758;204667;211857;219337;227114
com._sedhiou;24214;25021;25859;26730;27636;28579;29560;30581;31643;32748;33898;35095;36340
com._marsassoum;7029;7263;7507;7759;8022;8296;8581;8877;9185;9506;9840;10188;10549
com._dianah_malary;3066;3168;3274;3385;3499;3619;3743;3872;4007;4147;4292;4444;4601
arrondissement_diende;51303;53014;54788;56634;58554;60551;62630;64792;67042;69384;71822;74358;76994
cr.__diende;12479;12895;13327;13776;14243;14729;15234;15760;16307;16877;17470;18087;18728
cr.__sakar;9028;9329;9641;9966;10304;10655;11021;11402;11798;12210;12639;13085;13549
cr.__diannah_ba;7206;7446;7696;7955;8224;8505;8797;9101;9417;9746;10088;10444;10815
cr.__koussy;8383;8663;8952;9254;9568;9894;10234;10587;10955;11338;11736;12150;12581
cr.__oudoucar;10354;10699;11057;11430;11817;12221;12640;13076;13531;14003;14495;15007;15539
cr.__sama_kanta_peulh;3851;3979;4113;4251;4395;4545;4701;4864;5032;5208;5391;5582;5779
arrondissement_djibabouya;30376;31389;32440;33532;34669;35852;37082;38363;39695;41082;42525;44026;45588
cr.__benet__bijini;10847;11209;11584;11974;12380;12802;13242;13699;14175;14670;15185;15721;16279
cr.__sansamba;13787;14247;14724;15220;15736;16272;16831;17412;18017;18646;19301;19983;20691
cr.__djibabouya;5742;5933;6132;6339;6554;6777;7010;7252;7504;7766;8039;8322;8617
arrondissement_djiredji;35343;36521;37744;39015;40338;41714;43146;44636;46186;47799;49479;51226;53042
cr.__bambali;17330;17908;18507;19131;19779;20454;21156;21887;22647;23438;24261;25118;26008
cr.__djiredji;18012;18613;19236;19884;20558;21259;21989;22748;23538;24360;25216;26106;27032
departement_bounkiling;145568;150422;155457;160694;166141;171809;177706;183842;190227;196873;203789;210984;218465
com._bounkiling;6416;6630;6852;7083;7323;7573;7833;8103;8384;8677;8982;9299;9629
com._madina_wandifa;12205;12612;13034;13473;13930;14405;14900;15414;15949;16507;17086;17690;18317
com._n.diamacouta;7179;7418;7667;7925;8194;8473;8764;9067;9381;9709;10050;10405;10774
arrondissement_boghal;51602;53323;55108;56964;58895;60904;62995;65170;67433;69789;72240;74791;77443
cr.__n.diamalathiel;14688;15178;15686;16214;16764;17336;17931;18550;19194;19865;20563;21289;22043
cr.__boghal;12551;12969;13404;13855;14325;14814;15322;15851;16402;16975;17571;18191;18836
cr.__tankon;20700;21390;22106;22851;23626;24432;25270;26143;27051;27996;28979;30002;31066
cr.__djinany;3663;3785;3912;4044;4181;4323;4472;4626;4787;4954;5128;5309;5497
arrondissement_bona;26506;27390;28307;29260;30252;31284;32358;33475;34638;35848;37107;38417;39780
cr.__bona;8833;9128;9433;9751;10081;10425;10783;11155;11543;11946;12366;12802;13256
cr.__diacounda;7405;7652;7908;8174;8452;8740;9040;9352;9677;10015;10367;10733;11113
cr.__inor;8633;8921;9219;9530;9853;10189;10539;10903;11282;11676;12086;12513;12956
cr.__kandion_mangana;1635;1690;1746;1805;1866;1930;1996;2065;2137;2211;2289;2370;2454
arrondissement_diaroume;41660;43049;44490;45989;47548;49170;50858;52614;54441;56343;58322;60381;62522
cr.__diaroume;17926;18524;19144;19789;20459;21158;21884;22639;23426;24244;25096;25982;26903
cr.__diambaty;10274;10617;10972;11342;11726;12126;12542;12975;13426;13895;14383;14891;15419
cr.__faoune;13460;13909;14374;14859;15362;15886;16432;16999;17589;18204;18843;19509;20200
departement_goudomp;156095;161300;166699;172315;178156;184234;190557;197137;203984;211110;218526;226242;234263
com._goudomp;12869;13298;13743;14206;14688;15189;15710;16253;16817;17405;18016;18652;19313
com._diattacounda;4356;4501;4652;4809;4972;5141;5318;5501;5692;5891;6098;6314;6537
com._samine;4848;5010;5177;5352;5533;5722;5918;6123;6335;6557;6787;7027;7276
com._tanaff;4831;4992;5159;5333;5514;5702;5898;6101;6313;6534;6763;7002;7250
arrondissement_djibanar;61634;63689;65821;68038;70345;72745;75241;77839;80543;83357;86285;89331;92499
cr.__djibanar;10548;10900;11265;11644;12039;12449;12877;13321;13784;14266;14767;15288;15830
cr.__kaour;4785;4945;5110;5282;5461;5648;5841;6043;6253;6471;6699;6935;7181
cr.__mangaroungou_santo;12485;12901;13333;13782;14250;14736;15241;15768;16315;16885;17478;18096;18737
cr.__simbadi_balante;21512;22229;22973;23747;24552;25390;26261;27168;28112;29094;30116;31179;32285
cr.__yarang_balante;12305;12715;13141;13584;14044;14523;15022;15540;16080;16642;17226;17835;18467
arrondissement_karantaba;23823;24617;25441;26298;27190;28118;29083;30087;31132;32219;33351;34529;35753
cr.__karantaba;14251;14726;15219;15732;16265;16820;17397;17998;18623;19274;19951;20655;21388
cr.__kolibantang;9572;9891;10222;10567;10925;11298;11685;12089;12509;12946;13400;13873;14365
arrondissement_simbandi_brass;43734;45192;46705;48278;49915;51618;53389;55233;57151;59148;61226;63387;65635
cr.__niagha;12324;12735;13161;13605;14066;14546;15045;15564;16105;16668;17253;17862;18496
cr.__simbandi_brassou;15106;15610;16132;16676;17241;17829;18441;19078;19740;20430;21148;21894;22671
cr.__baghere;10797;11157;11530;11919;12323;12743;13181;13636;14109;14602;15115;15649;16204
cr.__diouboudou;5507;5691;5881;6079;6285;6500;6723;6955;7197;7448;7710;7982;8265
region__tambacounda;681310;705396;730473;756588;783777;812075;841518;872156;904032;937182;971660;1007511;1044781
zoneurbaine_tambacounda;161439;170706;178235;186877;195944;205455;214587;225016;235952;246479;258462;271020;283136
zonerurale_tambacounda;519871;534690;552238;569710;587833;606620;626930;647139;668080;690704;713198;736490;761646
departement___bakel;138867;143776;148888;154210;159752;165520;171521;177766;184263;191020;198047;205354;212951
com._bakel;13329;13800;14291;14802;15334;15887;16463;17063;17686;18335;19009;19711;20440
com._diawara;7540;7807;8084;8373;8674;8987;9313;9652;10005;10372;10753;11150;11563
com_.kidira;10065;10421;10791;11177;11579;11997;12432;12884;13355;13845;14354;14884;15435
arrondissement_keniaba;18686;19347;20034;20751;21496;22272;23080;23920;24795;25704;26649;27633;28655
cr.__gathiary;3039;3146;3258;3375;3496;3622;3754;3890;4032;4180;4334;4494;4660
cr.__madina_foulbe;2323;2405;2491;2580;2672;2769;2869;2974;3082;3195;3313;3435;3562
cr.__sadatou;9842;10190;10552;10929;11322;11731;12156;12599;13059;13538;14036;14554;15093
cr.__toumboura;3483;3606;3734;3868;4007;4151;4302;4459;4622;4791;4967;5151;5341
arrondissement_bele_ex_kidira;25311;26206;27137;28108;29118;30169;31263;32401;33585;34817;36098;37430;38814
cr.__bele;16986;17586;18212;18863;19541;20246;20980;21744;22539;23365;24225;25119;26048
cr.__sinthiou_fissa;8326;8620;8927;9246;9578;9924;10284;10658;11048;11453;11874;12312;12768
arrondissement_moudery;63936;66196;68550;71000;73552;76207;78970;81846;84837;87948;91183;94548;98045
cr.__ballou;21345;22100;22885;23703;24555;25442;26364;27324;28323;29361;30441;31565;32732
cr.__gabou;19002;19674;20373;21102;21860;22649;23470;24325;25214;26138;27100;28100;29139
cr.__moudery;23589;24423;25291;26195;27137;28116;29136;30197;31300;32448;33642;34883;36173
departement_tambacounda;299163;309739;320750;332218;344156;356582;369510;382963;396960;411516;426656;442398;458763
com._tambacounda;107293;111086;115035;119148;123430;127886;132523;137348;142367;147588;153017;158663;164533
arrondissemnt_koussanar;46363;48002;49709;51486;53336;55262;57265;59350;61519;63775;66121;68561;71097
cr.__koussanar;26362;27294;28264;29275;30327;31422;32561;33746;34980;36262;37597;38984;40426
cr.__sinthiou_malem;20002;20709;21445;22212;23010;23841;24705;25605;26541;27514;28526;29579;30673
arrondissement_makacouliban;68700;71129;73657;76291;79032;81886;84855;87944;91158;94501;97977;101593;105351
cr.__makacoulibatang;37572;38900;40283;41723;43223;44783;46407;48097;49854;51682;53584;55561;57616
cr.__n.doga_babacar;20153;20865;21607;22380;23184;24021;24892;25798;26741;27722;28741;29802;30904
cr.__niani_toucouleur;10974;11362;11766;12187;12624;13080;13555;14048;14561;15095;15651;16228;16829
arrondissement_missirah;76807;79522;82349;85293;88359;91549;94868;98322;101915;105653;109539;113581;117783
cr.__dialacoto;16450;17032;17637;18268;18924;19607;20318;21058;21828;22628;23460;24326;25226
cr.__missirah;41659;43132;44665;46262;47924;49655;51455;53328;55277;57304;59413;61605;63884
cr.__nette_boulou;18696;19357;20045;20762;21508;22284;23092;23933;24808;25717;26664;27647;28670
departement_goudiry;114847;118907;123134;127536;132120;136890;141853;147018;152391;157979;163791;169834;176117
com._goudiry;6867;7110;7363;7626;7900;8185;8482;8791;9112;9446;9793;10155;10530
com._kothiary;4244;4394;4550;4713;4882;5059;5242;5433;5631;5838;6053;6276;6508
arrondissement_bala;19887;20590;21322;22084;22878;23704;24563;25458;26388;27356;28362;29409;30496
cr.__bala;6151;6368;6595;6831;7076;7332;7597;7874;8162;8461;8772;9096;9432
cr.__goumbayel;5224;5409;5601;5801;6010;6227;6452;6687;6932;7186;7450;7725;8011
cr.__koar;8512;8813;9126;9452;9792;10146;10514;10896;11295;11709;12140;12587;13053
ar.rondissement_boynguel_bam;40221;41643;43123;44665;46270;47941;49679;51488;53369;55326;57362;59478;61678
cr.__dougue;7252;7508;7775;8053;8343;8644;8957;9283;9623;9976;10343;10724;11121
cr.__boynguel_bamba;11584;11994;12420;12864;13326;13807;14308;14829;15371;15934;16521;17130;17764
cr.__koussan;7698;7970;8253;8549;8856;9175;9508;9854;10214;10589;10979;11384;11805
cr.__sinthiou_mamadou_boubou;13687;14171;14675;15199;15745;16314;16905;17521;18161;18827;19520;20240;20989
arrondissement_dianke_makha;26638;27580;28560;29581;30644;31751;32902;34100;35346;36642;37990;39392;40849
cr.__bani___israel;5377;5567;5765;5971;6186;6409;6641;6883;7135;7396;7668;7951;8246
cr.__boutoucoufara;5735;5938;6149;6369;6598;6836;7084;7341;7610;7889;8179;8481;8795
cr.__dianke_makha;7109;7360;7622;7894;8178;8473;8781;9100;9433;9779;10139;10513;10902
cr.__komoti;8417;8715;9024;9347;9683;10032;10396;10775;11169;11578;12004;12447;12907
arrondissement_koulor;16990;17591;18216;18867;19545;20251;20985;21749;22544;23371;24231;25125;26054
cr.__koulor;11639;12050;12479;12925;13389;13873;14376;14899;15444;16010;16599;17212;17848
cr.__sinthiou_bocar_ali;5351;5540;5737;5942;6156;6378;6609;6850;7100;7361;7631;7913;8206
departement___koumpentoum;128433;132973;137701;142624;147749;153083;158634;164409;170418;176667;183167;189925;196951
com._koumpentoum;10022;10376;10745;11129;11529;11946;12379;12829;13298;13786;14293;14820;15369
com._malem_niani;2079;2152;2229;2309;2392;2478;2568;2661;2759;2860;2965;3074;3188
arrondissement_bamba_thialen;54102;56015;58006;60080;62239;64486;66824;69257;71788;74420;77158;80005;82965
cr.__bamba__thialene;15782;16340;16921;17526;18156;18811;19493;20203;20941;21709;22508;23338;24202
cr.__kahene;15288;15828;16391;16977;17587;18222;18883;19570;20286;21030;21803;22608;23444
cr.__mereto;13296;13766;14255;14765;15296;15848;16423;17020;17642;18289;18962;19662;20389
cr.__n.dame;9736;10080;10439;10812;11200;11605;12025;12463;12919;13392;13885;14397;14930
arrondissement_kouthiaba_wol;62230;64430;66720;69106;71589;74174;76863;79662;82573;85601;88750;92025;95429
cr.__kouthia_gaydi;10661;11038;11430;11839;12264;12707;13168;13647;14146;14665;15204;15765;16349
cr.__kouthiaba_wolof;19455;20143;20859;21605;22381;23189;24030;24905;25815;26761;27746;28770;29834
cr.__pass_koto;12413;12852;13309;13785;14280;14795;15332;15890;16471;17075;17703;18356;19035
cr.__payar;19700;20396;21122;21877;22663;23481;24332;25218;26140;27099;28095;29132;30210
region__thies;1788864;1838366;1889323;1941549;1995037;2049764;2105707;2162831;2221097;2280458;2340871;2402262;2464554
zoneurbaine_thies;872112;909991;946550;982424;1021459;1059728;1099179;1141975;1183844;1229167;1273434;1321244;1367828
zonerurale_thies;916752;928375;942771;959125;973578;990036;1006528;1020857;1037252;1051291;1067437;1081018;1096726
departement_mbour;668878;687387;706441;725969;745969;766432;787349;808709;830495;852691;875280;898235;921527
com._joal__fadiouth;45903;47173;48481;49821;51193;52598;54033;55499;56994;58518;60068;61643;63241
com._m.bour;232777;239218;245849;252645;259605;266727;274006;281440;289022;296746;304607;312596;320702
com._guekokh;27033;27781;28551;29340;30149;30976;31821;32684;33565;34462;35375;36303;37244
com._thiadiaye;14976;15390;15817;16254;16702;17160;17629;18107;18595;19092;19597;20111;20633
com._n.gaparou;9525;9789;10060;10338;10623;10914;11212;11516;11826;12143;12464;12791;13123
com._popoguine;8651;8890;9137;9389;9648;9913;10183;10460;10741;11028;11321;11617;11919
com._saly_portudal;26945;27691;28458;29245;30051;30875;31717;32578;33456;34350;35260;36184;37123
com._somone;5448;5599;5754;5913;6076;6243;6413;6587;6764;6945;7129;7316;7506
arrondissement__fissel;84836;87184;89600;92077;94614;97209;99862;102571;105334;108150;111015;113926;116880
cr.__fissel;38367;39429;40522;41642;42789;43963;45163;46388;47637;48911;50206;51523;52859
cr.__n.diaganiao;46469;47755;49079;50435;51825;53246;54700;56183;57697;59239;60808;62403;64021
arrondissement__sessene;87697;90124;92622;95182;97804;100487;103230;106030;108887;111797;114759;117768;120822
cr.__n.gueniene;34481;35435;36417;37424;38455;39510;40588;41689;42812;43957;45121;46304;47505
cr.__sandiara;28430;29217;30027;30857;31707;32576;33466;34373;35299;36243;37203;38179;39169
cr.__sessene;24786;25472;26178;26902;27643;28401;29176;29968;30775;31597;32434;33285;34148
arrondissement__sindia;125089;128551;132114;135766;139506;143333;147245;151239;155314;159464;163689;167982;172338
cr.__malicounda;61031;62720;64458;66240;68065;69932;71841;73790;75778;77803;79864;81958;84084
cr.__diass;30396;31237;32103;32990;33899;34829;35780;36750;37740;38749;39776;40819;41877
cr.__sindia;33663;34595;35553;36536;37543;38573;39625;40700;41797;42914;44051;45206;46378
departement_thies;667814;686294;705317;724814;744782;765213;786097;807422;829174;851335;873888;896806;920061
com._khombole;15587;16018;16462;16917;17383;17860;18348;18846;19353;19870;20397;20932;21475
com._pout;23728;24385;25061;25753;26463;27189;27931;28688;29461;30249;31050;31864;32691
com._cayar;23585;24238;24909;25598;26303;27025;27762;28516;29284;30066;30863;31672;32494
arrondissement_thies_nord;104095;106975;109941;112980;116092;119277;122532;125856;129247;132701;136216;139789;143414
ca._thies_nord;104095;106976;109941;112980;116092;119277;122532;125856;129247;132701;136217;139789;143414
arrondissement_thies_sud;213668;219581;225667;231905;238294;244831;251513;258336;265295;272386;279602;286934;294375
ca._thies_est;132080;135735;139497;143353;147303;151343;155474;159692;163994;168377;172837;177370;181969
ca._thies_ouest;81588;83846;86170;88552;90991;93487;96039;98644;101302;104009;106764;109564;112405
arrondissemnt__notto;62203;63924;65696;67512;69372;71275;73220;75207;77233;79297;81398;83532;85698
cr.__notto;41936;43096;44291;45515;46769;48052;49364;50703;52069;53460;54877;56316;57776
cr.__tassette;20267;20828;21405;21997;22603;23223;23857;24504;25164;25837;26521;27217;27922
arrondissemnt_thienaba;123737;127161;130686;134298;137998;141784;145653;149605;153635;157741;161920;166166;170475
cr.__n.dieyene_sirakh;30114;30947;31805;32684;33585;34506;35448;36409;37390;38390;39407;40440;41489
cr.__n.goundiane;24677;25360;26063;26783;27521;28276;29048;29836;30640;31458;32292;33139;33998
cr.__thienaba;24254;24925;25616;26324;27049;27791;28550;29324;30114;30919;31738;32571;33415
cr.__touba_toul;44691;45928;47201;48506;49842;51209;52607;54034;55489;56972;58482;60015;61572
arrondissemnt__keur_moussa;101211;104012;106895;109850;112876;115972;119137;122369;125666;129025;132443;135916;139440
cr.__diender_guedji;33312;34234;35183;36155;37151;38170;39212;40276;41361;42466;43591;44735;45895
cr.__fandene;28050;28826;29625;30444;31283;32141;33018;33914;34828;35758;36706;37668;38645
cr.__keur_moussa;39850;40953;42088;43251;44443;45662;46908;48181;49479;50801;52147;53514;54902
departement__tivaouane;452172;464685;477565;490766;504286;518120;532261;546700;561428;576432;591703;607221;622966
com._mekhe;22944;23579;24232;24902;25588;26290;27008;27741;28488;29249;30024;30811;31610
com._tivaouane;69556;71481;73462;75493;77573;79701;81876;84097;86362;88671;91020;93407;95829
com._m.boro;27693;28459;29248;30057;30885;31732;32598;33482;34384;35303;36238;37189;38153
arrondissement__meouane;111314;114394;117565;120815;124143;127549;131030;134585;138210;141904;145663;149483;153360
cr.__meouane;35615;36601;37615;38655;39720;40809;41923;43060;44220;45402;46605;47827;49068
cr.__taiba_n.diaye;22268;22884;23519;24169;24834;25516;26212;26923;27648;28387;29139;29904;30679
cr.__darou_khoudoss;53431;54910;56432;57991;59589;61224;62895;64601;66341;68114;69919;71752;73613
arrondissement__merina_dakhar;78979;81165;83414;85720;88082;90498;92968;95490;98062;100683;103350;106061;108811
cr.__koul;26875;27619;28384;29169;29972;30795;31635;32493;33369;34260;35168;36090;37026
cr.__merina_dakhar;32345;33240;34161;35106;36073;37062;38074;39107;40160;41234;42326;43436;44562
cr.__pekesse;19758;20305;20868;21444;22035;22640;23258;23888;24532;25188;25855;26533;27221
arrondissement__niakhene;56224;57780;59381;61023;62704;64424;66182;67978;69809;71675;73574;75503;77461
cr.__m.bayene;9327;9585;9851;10123;10402;10687;10979;11277;11581;11890;12205;12525;12850
cr.__n.gandiouf;26269;26996;27744;28511;29297;30100;30922;31761;32616;33488;34375;35277;36191
cr.__niakhene;8911;9158;9411;9672;9938;10211;10489;10774;11064;11360;11661;11967;12277
cr.__thilmakha;11717;12041;12375;12717;13067;13426;13792;14166;14548;14937;15333;15735;16143
arrondissement__pambal;85462;87827;90261;92756;95312;97926;100599;103328;106112;108948;111834;114767;117743
cr.__cherif_lo;17813;18306;18813;19333;19866;20411;20968;21537;22117;22708;23310;23921;24541
cr.__mont__rolland;14122;14513;14915;15327;15750;16182;16623;17074;17534;18003;18480;18964;19456
cr.__notto_gouye_diama;21814;22418;23039;23676;24328;24996;25678;26374;27085;27809;28545;29294;30054
cr.__pire_goureye;23377;24024;24690;25372;26071;26786;27518;28264;29025;29801;30591;31393;32207
cr._pambal;8335;8566;8803;9046;9296;9551;9811;10077;10349;10626;10907;11193;11483
region_ziguinchor;549151;565940;583528;601929;621168;641254;662179;683952;706554;729951;754109;778985;804533
zoneurbaine__ziguinchor;252256;262596;273674;284713;296918;309084;321819;335821;349745;364976;380070;395724;412725
zonerurale__ziguinchor;296895;303344;309853;317216;324250;332170;340359;348131;356810;364976;374037;383261;391807
departement_bignona;252554;260275;268364;276827;285675;294912;304535;314549;324943;335704;346814;358254;370004
com._bignona;27826;28677;29568;30500;31475;32493;33553;34656;35802;36987;38211;39472;40766
com._thionck_essyl;8388;8644;8913;9194;9488;9795;10114;10447;10792;11150;11519;11899;12289
com._diouloulou;5920;6101;6291;6489;6696;6913;7138;7373;7617;7869;8130;8398;8673
arrondissement_sindian;42858;44168;45541;46977;48479;50046;51679;53378;55142;56968;58854;60795;62789
cr.__djibidione;8452;8710;8981;9264;9560;9870;10192;10527;10875;11235;11607;11989;12383
cr.__oulampane;13620;14036;14473;14929;15406;15904;16423;16963;17524;18104;18703;19320;19954
cr.__sindian;11641;11997;12370;12760;13168;13593;14037;14499;14978;15474;15986;16513;17055
cr.__suelle;9146;9426;9719;10025;10345;10680;11028;11391;11768;12157;12560;12974;13399
arrondissemn_tendouck;32487;33480;34521;35609;36747;37936;39174;40462;41799;43183;44612;46084;47595
cr.__balingore;5496;5664;5840;6024;6217;6418;6627;6845;7071;7305;7547;7796;8052
cr.__diegoune;7511;7741;7981;8233;8496;8771;9057;9355;9664;9984;10314;10655;11004
cr.__karthiack;7938;8181;8435;8701;8979;9269;9572;9887;10213;10551;10901;11260;11630
cr.__mangagoulack;8477;8736;9008;9292;9589;9899;10222;10558;10907;11268;11641;12025;12419
cr.__mlomp;3065;3159;3257;3360;3467;3579;3696;3817;3944;4074;4209;4348;4490
arrondissemnt_tenghory;60734;62591;64536;66571;68699;70920;73234;75642;78142;80730;83402;86153;88978
cr.__coubalan;12119;12490;12878;13284;13708;14152;14613;15094;15593;16109;16642;17191;17755
cr.__niamone;7581;7813;8056;8310;8575;8852;9141;9442;9754;10077;10410;10754;11107
cr.__ouonck;10292;10607;10936;11281;11642;12018;12410;12818;13242;13680;14133;14599;15078
cr.__tenghory;30743;31683;32668;33698;34775;35899;37071;38290;39555;40865;42217;43610;45040
arrondissement__kataba_i;74341;76614;78995;81486;84090;86809;89642;92590;95649;98817;102087;105455;108913
cr.__djinaki;19520;20117;20742;21396;22080;22794;23538;24312;25115;25947;26805;27690;28598
cr.__kafountine;31340;32298;33302;34352;35450;36596;37790;39033;40323;41658;43037;44457;45915
cr.__kataba_i;23481;24199;24951;25738;26560;27419;28314;29245;30211;31212;32245;33308;34401
departement_oussouye;48332;49810;51358;52977;54670;56438;58280;60196;62185;64245;66371;68560;70809
com._oussouye;4828;4976;5130;5292;5461;5638;5822;6013;6212;6418;6630;6849;7073
arrondissement__cabrousse;23916;24647;25413;26215;27052;27927;28838;29787;30771;31790;32842;33925;35038
cr.__djembering;20924;21564;22234;22935;23668;24433;25231;26060;26921;27813;28733;29681;30655
cr.__santhiaba_manjacque;2991;3082;3178;3278;3383;3493;3607;3725;3848;3976;4107;4243;4382
arrondissement___loudia_ouolof;19588;20187;20814;21471;22157;22873;23620;24396;25203;26037;26899;27786;28697
cr.__mlomp;11236;11580;11939;12316;12710;13120;13549;13994;14457;14935;15430;15939;16461
cr.__oukout;8352;8607;8875;9155;9447;9753;10071;10402;10746;11102;11469;11848;12236
departement_ziguinchor;248265;255855;263806;272125;280823;289904;299364;309207;319425;330003;340924;352170;363720
com._ziguinchor;205294;211570;218145;225024;232217;239726;247548;255688;264137;272884;281915;291215;300766
arrondissement__niaguis;33230;34246;35310;36424;37588;38803;40070;41387;42755;44170;45632;47138;48684
cr.__adeane;17580;18117;18681;19270;19885;20528;21198;21895;22619;23368;24141;24938;25756
cr.__boutoupa_camar;5149;5306;5471;5644;5824;6013;6209;6413;6625;6844;7071;7304;7544
cr.__niaguis;10501;10822;11158;11510;11878;12262;12662;13079;13511;13958;14420;14896;15384
arrondissement___niassia;9741;10039;10351;10677;11018;11375;11746;12132;12533;12948;13377;13818;14271
cr.__enampore;4659;4801;4951;5107;5270;5440;5618;5803;5994;6193;6398;6609;6826
cr.__nyassia;5081;5236;5399;5569;5747;5933;6127;6328;6537;6754;6977;7208;7444
